property_type,location,quartier_ancfcc,consistance_ancfcc,price_m2,prix_ref_ancfcc_m2,ratio_marche_ancfcc
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),14772.73,19000.0,0.778
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11500.0,11000.0,1.045
Villa,Oasis,Hay Hassani,Villa,22857.14,7000.0,3.265
Penthouse,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),77777.78,15000.0,5.185
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),19017.86,19000.0,1.001
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),15200.0,13000.0,1.169
Appartement,Hay Salama,Hay Hassani,Appartement (fermé et sécurisé),11111.11,13000.0,0.855
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),13068.18,19000.0,0.688
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),20555.56,19000.0,1.082
Villa,Californie,Aïn Chock,Villa,18225.42,10000.0,1.823
Riad,Sidi Moumen,Hay Mohammadi,Villa,6415.09,6000.0,1.069
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),11777.78,19000.0,0.62
Villa,Laymoune,Hay Hassani,Villa,11644.83,7000.0,1.664
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),9223.3,19000.0,0.485
Appartement,Aïn Chock,Aïn Chock,Appartement (fermé et sécurisé),12210.53,15000.0,0.814
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),13281.25,11000.0,1.207
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),12649.57,19000.0,0.666
Villa,Californie,Aïn Chock,Villa,17763.16,10000.0,1.776
Villa,Californie,Aïn Chock,Villa,13658.94,10000.0,1.366
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),16334.66,19000.0,0.86
Studio,Maarif,Maarif,Appartement (fermé et sécurisé),24468.09,19000.0,1.288
Villa,Sidi Maârouf,Aïn Chock,Villa,11688.31,10000.0,1.169
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),15943.4,15000.0,1.063
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),16666.67,19000.0,0.877
Villa,Anfa,Maarif,Villa,19093.08,11000.0,1.736
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),7090.91,11000.0,0.645
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),15600.0,15000.0,1.04
Appartement,Sidi Othmane,Sidi Othmane,Appartement (fermé et sécurisé),9122.81,10000.0,0.912
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),10000.0,13000.0,0.769
Duplex,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),16129.03,15000.0,1.075
Immeuble,Les Hôpitaux,Maarif,Construction à usage commercial,14534.88,25000.0,0.581
Appartement,Al Qods,Hay Hassani,Appartement (fermé et sécurisé),10000.0,13000.0,0.769
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),17272.73,19000.0,0.909
Villa,Sidi Maârouf,Aïn Chock,Villa,13793.1,10000.0,1.379
Appartement,Beauséjour,Maarif,Appartement (fermé et sécurisé),16000.0,19000.0,0.842
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),17088.61,19000.0,0.899
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),7843.14,13000.0,0.603
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),13739.84,13000.0,1.057
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),16911.76,19000.0,0.89
Appartement,Quartier Bachkou,Roches Noires,Appartement (fermé et sécurisé),17627.12,13000.0,1.356
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),16076.92,15000.0,1.072
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),11486.49,15000.0,0.766
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),13688.21,19000.0,0.72
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),15909.09,19000.0,0.837
Villa,Californie,Aïn Chock,Villa,17450.5,10000.0,1.745
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),22448.98,19000.0,1.182
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),14468.09,13000.0,1.113
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),9539.47,11000.0,0.867
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),8928.57,13000.0,0.687
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),24000.0,15000.0,1.6
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),10897.44,19000.0,0.574
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),14728.68,19000.0,0.775
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),27000.0,19000.0,1.421
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),29761.9,19000.0,1.566
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),30444.44,19000.0,1.602
Studio,Anfa,Maarif,Appartement (fermé et sécurisé),28048.78,19000.0,1.476
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),24897.96,19000.0,1.31
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),30750.0,19000.0,1.618
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),25384.62,19000.0,1.336
Immeuble,Belvédère,Maarif,Construction à usage commercial,36480.69,25000.0,1.459
Villa,Val Fleury,Hay Hassani,Villa,34000.0,7000.0,4.857
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),22764.23,15000.0,1.518
Studio,Finance City,Aïn Chock,Appartement (fermé et sécurisé),26582.28,15000.0,1.772
Studio,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),15230.77,13000.0,1.172
Villa,Maarif,Maarif,Villa,10935.02,11000.0,0.994
Villa,Al Qods,Hay Hassani,Villa,12323.94,7000.0,1.761
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),11567.16,19000.0,0.609
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),1649.48,19000.0,0.087
Villa,Anfa,Maarif,Villa,32010.24,11000.0,2.91
Villa,Ain Diab,Aïn Chock,Villa,15927.98,10000.0,1.593
Villa,Anfa,Maarif,Villa,15505.62,11000.0,1.41
Villa,Californie,Aïn Chock,Villa,5743.59,10000.0,0.574
Villa,Californie,Aïn Chock,Villa,12865.5,10000.0,1.287
Villa,El Hank,Maarif,Villa,16666.67,11000.0,1.515
Villa,Ain Diab,Aïn Chock,Villa,20270.27,10000.0,2.027
Villa,Anfa,Maarif,Villa,16949.15,11000.0,1.541
Villa,Californie,Aïn Chock,Villa,10666.67,10000.0,1.067
Loft,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),14631.58,13000.0,1.126
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),17500.0,15000.0,1.167
Villa,Anfa,Maarif,Villa,18390.8,11000.0,1.672
Villa,Anfa,Maarif,Villa,18947.37,11000.0,1.722
Villa,Anfa,Maarif,Villa,17747.44,11000.0,1.613
Villa,Anfa,Maarif,Villa,14644.35,11000.0,1.331
Villa,Anfa,Maarif,Villa,16551.72,11000.0,1.505
Villa,Anfa,Maarif,Villa,16020.24,11000.0,1.456
Villa,Californie,Aïn Chock,Villa,9359.61,10000.0,0.936
Appartement,Hay Chrifa,Sidi Othmane,Appartement (fermé et sécurisé),9523.81,10000.0,0.952
Villa,Laymoune,Hay Hassani,Villa,12096.77,7000.0,1.728
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),12573.1,13000.0,0.967
Maison,Aïn Sebaâ,Aïn Sebaâ,Villa,9722.22,5500.0,1.768
Studio,Derb Ghalef,Hay Hassani,Appartement (fermé et sécurisé),15200.0,13000.0,1.169
Villa,Sidi Maârouf,Aïn Chock,Villa,19600.0,10000.0,1.96
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),16600.79,19000.0,0.874
Villa,Californie,Aïn Chock,Villa,17600.0,10000.0,1.76
Villa,Anfa,Maarif,Villa,24800.0,11000.0,2.255
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),18300.65,19000.0,0.963
Villa,Mers Sultan,Mers Sultan,Villa,18677.04,7500.0,2.49
Maison,Oulfa,Hay Hassani,Villa,32653.06,7000.0,4.665
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),22388.06,19000.0,1.178
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),13274.34,15000.0,0.885
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),11000.0,15000.0,0.733
Villa,Ain Diab,Aïn Chock,Villa,21951.22,10000.0,2.195
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),15306.12,15000.0,1.02
Villa,Oulfa,Hay Hassani,Villa,12580.65,7000.0,1.797
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),13432.84,15000.0,0.896
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),27647.06,15000.0,1.843
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),28571.43,19000.0,1.504
Maison,Derb Sultan,Mers Sultan,Villa,5866.67,7500.0,0.782
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),9813.08,11000.0,0.892
Villa,Californie,Aïn Chock,Villa,27755.91,10000.0,2.776
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),17500.0,15000.0,1.167
Villa,Ain Diab,Aïn Chock,Villa,15166.67,10000.0,1.517
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),23100.0,19000.0,1.216
Villa,El Hank,Maarif,Villa,27142.86,11000.0,2.468
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),8791.21,19000.0,0.463
Villa,Californie,Aïn Chock,Villa,14285.71,10000.0,1.429
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),11965.81,13000.0,0.92
Appartement,Centre Ville,Sidi Belyout,Appartement (fermé et sécurisé),16666.67,10000.0,1.667
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),9175.26,13000.0,0.706
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),9195.4,15000.0,0.613
Studio,Finance City,Aïn Chock,Appartement (fermé et sécurisé),23116.88,15000.0,1.541
Villa,Sidi Maârouf,Aïn Chock,Villa,8777.78,10000.0,0.878
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),16791.04,19000.0,0.884
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),19583.33,19000.0,1.031
Duplex,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),20744.68,15000.0,1.383
Appartement,Casablanca Marina,Sidi Belyout,Appartement (fermé et sécurisé),35424.19,10000.0,3.542
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),15000.0,19000.0,0.789
Villa,Ain Diab,Aïn Chock,Villa,29720.28,10000.0,2.972
Villa,Anfa,Maarif,Villa,20047.85,11000.0,1.823
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),17338.71,15000.0,1.156
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),12765.96,13000.0,0.982
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),13333.33,13000.0,1.026
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),21000.0,13000.0,1.615
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),19685.04,15000.0,1.312
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),25624.49,19000.0,1.349
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),15048.54,13000.0,1.158
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),15277.78,13000.0,1.175
Villa,Oasis,Hay Hassani,Villa,17981.65,7000.0,2.569
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),37500.0,19000.0,1.974
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),27611.94,19000.0,1.453
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),18367.35,13000.0,1.413
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),11616.16,19000.0,0.611
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),26037.74,19000.0,1.37
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),25000.0,19000.0,1.316
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),11724.14,19000.0,0.617
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),8656.72,13000.0,0.666
Maison,Laymoune,Hay Hassani,Villa,15856.24,7000.0,2.265
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),21000.0,13000.0,1.615
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),14000.0,19000.0,0.737
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),21341.46,19000.0,1.123
Riad,Riad,Hay Hassani,Villa,7500.0,7000.0,1.071
Studio,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),7804.88,13000.0,0.6
Villa,Californie,Aïn Chock,Villa,35714.29,10000.0,3.571
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),14014.08,13000.0,1.078
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),17796.61,19000.0,0.937
Appartement,Centre Ville,Sidi Belyout,Appartement (fermé et sécurisé),16923.08,10000.0,1.692
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),15568.86,19000.0,0.819
Duplex,Palmier,Maarif,Appartement (fermé et sécurisé),16764.71,19000.0,0.882
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),11454.55,19000.0,0.603
Appartement,Alsace Lorraine,Maarif,Appartement (fermé et sécurisé),12935.32,19000.0,0.681
Appartement,Beauséjour,Maarif,Appartement (fermé et sécurisé),12938.14,19000.0,0.681
Appartement,Sidi Belyout,Sidi Belyout,Appartement (fermé et sécurisé),10750.0,10000.0,1.075
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),13764.04,19000.0,0.724
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),19354.84,19000.0,1.019
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),15963.86,19000.0,0.84
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),11009.17,15000.0,0.734
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),16129.03,19000.0,0.849
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),17193.68,19000.0,0.905
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),9343.07,15000.0,0.623
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),16666.67,19000.0,0.877
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),9689.92,13000.0,0.745
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),16058.39,19000.0,0.845
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),16530.61,15000.0,1.102
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),16161.62,19000.0,0.851
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),11184.21,19000.0,0.589
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),13500.0,19000.0,0.711
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),29100.53,15000.0,1.94
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),10000.0,13000.0,0.769
Duplex,Finance City,Aïn Chock,Appartement (fermé et sécurisé),26315.79,15000.0,1.754
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),20886.08,15000.0,1.392
Appartement,Al Qods,Hay Hassani,Appartement (fermé et sécurisé),8918.92,13000.0,0.686
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),15000.0,15000.0,1.0
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),15588.24,19000.0,0.82
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),15131.58,19000.0,0.796
Appartement,Laymoune,Hay Hassani,Appartement (fermé et sécurisé),15263.16,13000.0,1.174
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),12131.15,15000.0,0.809
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),20652.17,13000.0,1.589
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),30000.0,19000.0,1.579
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),26595.74,19000.0,1.4
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),29750.0,19000.0,1.566
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),15846.99,15000.0,1.056
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),24122.81,15000.0,1.608
Penthouse,Gauthier,Maarif,Appartement (fermé et sécurisé),12254.9,19000.0,0.645
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),7988.51,13000.0,0.615
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),15873.02,19000.0,0.835
Appartement,Sidi Othmane,Sidi Othmane,Appartement (fermé et sécurisé),10779.22,10000.0,1.078
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),10000.0,13000.0,0.769
Villa,Californie,Aïn Chock,Villa,30850.0,10000.0,3.085
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),22846.44,15000.0,1.523
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),24000.0,19000.0,1.263
Villa,El Hank,Maarif,Villa,18333.33,11000.0,1.667
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),16058.39,19000.0,0.845
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),12288.14,13000.0,0.945
Appartement,Sidi Othmane,Sidi Othmane,Appartement (fermé et sécurisé),6111.11,10000.0,0.611
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),17514.12,19000.0,0.922
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),15811.97,13000.0,1.216
Appartement,Hay Mohammadi,Hay Mohammadi,Appartement (fermé et sécurisé),6416.67,9500.0,0.675
Villa,Ain Diab,Aïn Chock,Villa,28662.42,10000.0,2.866
Studio,Maarif,Maarif,Appartement (fermé et sécurisé),13818.18,19000.0,0.727
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),5675.68,9500.0,0.597
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),15231.79,19000.0,0.802
Appartement,Hay Mohammadi,Hay Mohammadi,Appartement (fermé et sécurisé),6333.33,9500.0,0.667
Appartement,Al Qods,Hay Hassani,Appartement (fermé et sécurisé),8055.56,13000.0,0.62
Villa,Laymoune,Hay Hassani,Villa,13882.35,7000.0,1.983
Villa,Laymoune,Hay Hassani,Villa,13302.03,7000.0,1.9
Appartement,Bir Anzarane,Hay Hassani,Appartement (fermé et sécurisé),11811.02,13000.0,0.909
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),16521.74,19000.0,0.87
Appartement,Beauséjour,Maarif,Appartement (fermé et sécurisé),14583.33,19000.0,0.768
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),13983.05,19000.0,0.736
Villa,Californie,Aïn Chock,Villa,29800.0,10000.0,2.98
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),21976.74,13000.0,1.691
Maison,Oulfa,Hay Hassani,Villa,9523.81,7000.0,1.361
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),31777.78,19000.0,1.673
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),16125.0,19000.0,0.849
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),13225.81,19000.0,0.696
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),17127.07,19000.0,0.901
Villa,El Hank,Maarif,Villa,25000.0,11000.0,2.273
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),8333.33,9500.0,0.877
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),5000.0,15000.0,0.333
Maison,Al Qods,Hay Hassani,Villa,20138.89,7000.0,2.877
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),12162.16,15000.0,0.811
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),100000.0,19000.0,5.263
Villa,Laymoune,Hay Hassani,Villa,15957.45,7000.0,2.28
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),20000.0,19000.0,1.053
Villa,Ain Diab,Aïn Chock,Villa,29929.58,10000.0,2.993
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),16025.64,13000.0,1.233
Appartement,Al Qods,Hay Hassani,Appartement (fermé et sécurisé),6400.0,13000.0,0.492
Studio,Finance City,Aïn Chock,Appartement (fermé et sécurisé),30769.23,15000.0,2.051
Studio,Oasis,Hay Hassani,Appartement (fermé et sécurisé),26341.46,13000.0,2.026
Villa,Ain Diab,Aïn Chock,Villa,17200.0,10000.0,1.72
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),12000.0,15000.0,0.8
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),13868.61,15000.0,0.925
Duplex,Hay Mohammadi,Hay Mohammadi,Appartement (fermé et sécurisé),9285.71,9500.0,0.977
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),16101.69,19000.0,0.847
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),19047.62,19000.0,1.003
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),30208.33,19000.0,1.59
Studio,Gauthier,Maarif,Appartement (fermé et sécurisé),27272.73,19000.0,1.435
Appartement,Aïn Chock,Aïn Chock,Appartement (fermé et sécurisé),8305.08,15000.0,0.554
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),11666.67,15000.0,0.778
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),7166.67,13000.0,0.551
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),15294.12,19000.0,0.805
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),26354.17,19000.0,1.387
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),26037.74,19000.0,1.37
Duplex,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),9961.69,19000.0,0.524
Villa,Diab Extension,Aïn Chock,Villa,18000.0,10000.0,1.8
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),15168.54,15000.0,1.011
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),23750.0,19000.0,1.25
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),6800.0,9500.0,0.716
Maison,Sidi Maârouf,Aïn Chock,Villa,19642.86,10000.0,1.964
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),9944.75,19000.0,0.523
Villa,Bourgogne,Maarif,Villa,13826.09,11000.0,1.257
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),16000.0,19000.0,0.842
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),13194.44,19000.0,0.694
Studio,Beauséjour,Maarif,Appartement (fermé et sécurisé),22500.0,19000.0,1.184
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),9663.87,19000.0,0.509
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),13283.58,19000.0,0.699
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),16942.15,15000.0,1.129
Riad,Riad,Hay Hassani,Villa,10222.22,7000.0,1.46
Maison,Hay Hassani,Hay Hassani,Villa,19444.44,7000.0,2.778
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),25500.0,15000.0,1.7
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11538.46,11000.0,1.049
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),15853.66,15000.0,1.057
