property_type,location,quartier_ancfcc,consistance_ancfcc,price_m2,prix_ref_ancfcc_m2,ratio_marche_ancfcc
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),11507.94,15000.0,0.767
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),11891.89,19000.0,0.626
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),13529.41,15000.0,0.902
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),10617.28,13000.0,0.817
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),9693.88,15000.0,0.646
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),10113.64,13000.0,0.778
Appartement,La Gironde,Maarif,Appartement (fermé et sécurisé),12954.55,19000.0,0.682
Villa,Aïn Sebaâ,Aïn Sebaâ,Villa,13400.0,5500.0,2.436
Appartement,Beauséjour,Maarif,Appartement (fermé et sécurisé),10476.19,19000.0,0.551
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),13378.38,15000.0,0.892
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),7857.14,19000.0,0.414
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),9917.36,19000.0,0.522
Villa,Oasis,Hay Hassani,Villa,16000.0,7000.0,2.286
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),12170.54,15000.0,0.811
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),21268.66,15000.0,1.418
Villa,Sidi Maârouf,Aïn Chock,Villa,15714.29,10000.0,1.571
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),19095.48,19000.0,1.005
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),19083.97,19000.0,1.004
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),14338.24,19000.0,0.755
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),9589.04,13000.0,0.738
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),18617.02,19000.0,0.98
Villa,Californie,Aïn Chock,Villa,28000.0,10000.0,2.8
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),16666.67,19000.0,0.877
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),26923.08,15000.0,1.795
Villa,Ain Diab,Aïn Chock,Villa,24038.46,10000.0,2.404
Appartement,Hay Hassani,Hay Hassani,Appartement (fermé et sécurisé),87719.3,13000.0,6.748
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),10964.91,19000.0,0.577
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),10588.24,19000.0,0.557
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),11235.96,19000.0,0.591
Appartement,Laymoune,Hay Hassani,Appartement (fermé et sécurisé),13372.09,13000.0,1.029
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),18695.65,19000.0,0.984
Villa,Diab Extension,Aïn Chock,Villa,21705.43,10000.0,2.171
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),19375.0,19000.0,1.02
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),13000.0,19000.0,0.684
Maison,Ain Diab,Aïn Chock,Villa,57200.0,10000.0,5.72
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),14606.74,15000.0,0.974
Studio,Californie,Aïn Chock,Appartement (fermé et sécurisé),15842.59,15000.0,1.056
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),15129.31,15000.0,1.009
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),6428.57,13000.0,0.495
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),18584.07,19000.0,0.978
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11000.0,11000.0,1.0
Appartement,Hay Hassani,Hay Hassani,Appartement (fermé et sécurisé),9482.76,13000.0,0.729
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),15699.3,15000.0,1.047
Appartement,Hay Mohammadi,Hay Mohammadi,Appartement (fermé et sécurisé),10294.12,9500.0,1.084
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),23111.11,19000.0,1.216
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),28529.41,19000.0,1.502
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),15942.03,19000.0,0.839
Appartement,Al Qods,Hay Hassani,Appartement (fermé et sécurisé),10000.0,13000.0,0.769
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),10000.0,11000.0,0.909
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),27600.0,19000.0,1.453
Studio,Oasis,Hay Hassani,Appartement (fermé et sécurisé),29767.44,13000.0,2.29
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),6140.35,19000.0,0.323
